0x803d64,Name,Description,Number,Default Class,Portrait,Mini Portrait,Affinity,##UNKNOWN##,Base Level,Base HP,Base Pwr,Base Skl,Base Spd,Base Def,Base Res,Base Lck,Base Con,Sword Rank,Lance Rank,Axe Rank,Bow Rank,Staff Rank,Anima Rank,Light Rank,Dark Rank,HP Growth,Pwr Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Lck Growth,##UNKNOWN##,Attributes,Support Data Pointer,##UNKNOWN##
[Monster],0x255,0x2b1,0xb8,classArchMogall,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb9,classGorgon,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x256,0x2b1,0xba,classGorgonEgg2,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,100,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xbb,classGargoyle,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xbc,classDeathgoyle,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xbd,classDracoZombie,0x0,0x1,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
Formortiis,0x25a,0x2b2,0xbe,classDemonKing,0x0,0x4,5,0x0,20,0,0,0,0,0,0,10,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0xbf,classBrigand,0x0,0x0,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Frelian],0x262,0x2ba,0xc0,classMyrmidon,0x0,0x2,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
[Frelian],0x262,0x2ba,0xc1,classCavalier,0x0,0x2,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xc2,classBrigand,0x0,0x0,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xc3,classBrigand,0x0,0x0,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xc4,classBrigand,0x0,0x0,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
Fado (Prologue),0x25b,0x2b3,0xc5,classSage,0x51,0x0,1,0x0,5,13,8,6,8,2,12,10,3,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xc6,classBrigand,0x0,0x0,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
Hayden (Frelia),0x25c,0x2b4,0xc7,classPeer,0x52,0x0,7,0x0,1,0,0,0,0,0,0,0,1,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
Mansel (Rausten),0x25e,0x2b5,0xc8,classPontifex,0x53,0x0,6,0x0,17,11,11,3,2,5,8,17,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
Klimt (Carcino),0x25d,0x2b6,0xc9,classBishop,0x54,0x0,7,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
Dara (Caer Pelyn),0x25f,0x2b7,0xca,classDruid,0x55,0x0,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
Ismaire (Jehanna),0x260,0x2b8,0xcb,classQueen,0x56,0x0,3,0x0,4,14,10,9,11,4,12,12,0,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,75,30,60,55,20,25,30,0x0,CA_FEMALE,0x0,0x0
[Pegasus Messenger],0x261,0x2b9,0xcc,classPegasusKnight,0x69,0x0,3,0x0,1,3,2,2,5,0,2,7,0,WR_NONE,WR_D,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_FEMALE,0x0,0x0
[Rausten Knight],0x263,0x2bb,0xcd,classKnight,0x0,0x2,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
[Rausten Knight],0x263,0x2bb,0xce,classKnight,0x0,0x2,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,40,50,45,25,25,20,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xcf,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd0,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd1,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd2,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd3,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd4,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd5,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd6,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd7,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd8,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xd9,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xda,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xdb,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xdc,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xdd,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xde,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xdf,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe0,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe1,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe2,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe3,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe4,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe5,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe6,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe7,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe8,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xe9,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xea,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xeb,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xec,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xed,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xee,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xef,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xf0,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xf1,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xf2,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xf3,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[River Folk (Child F)],0x266,0x2bd,0xf4,classCivilian,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_NONE,0x0,0x0
[River Folk (F)],0x266,0x2bd,0xf5,classCivilianF,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_FEMALE,0x0,0x0
[River Folk],0x266,0x2bd,0xf6,classCivilian2,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_NONE,0x0,0x0
[River Folk (F)],0x266,0x2bd,0xf7,classCivilianF2,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_FEMALE,0x0,0x0
[River Folk (Child)],0x266,0x2bd,0xf8,classCivilian,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_NONE,0x0,0x0
[Renais Civilian (Child F)],0x265,0x2bc,0xf9,classCivilianF,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_FEMALE,0x0,0x0
[Renais Civilian],0x265,0x2bc,0xfa,classCivilian3,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_NONE,0x0,0x0
[Renais Civilian (F)],0x265,0x2bc,0xfb,classCivilianF3,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_FEMALE,0x0,0x0
[Old Civilian],0x264,0x0,0xfc,classCivilian3,0x0,0x5,0,0x0,1,0,0,0,0,2,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,25,60,10,15,15,25,0x0,CA_NONE,0x0,0x3
[Enemy],0x267,0x0,0xfd,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
WALL,0x268,0x0,0xfe,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
SNAG,0x269,0x0,0xff,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
