INLINE ClassTable 0xFF,Class Name,Class Description,Class Number,Default Promotion,Map Sprite# (standing),Walking Speed,Default Portrait,***UNKNOWN***,Base HP,Base STR,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Spear Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anima Level,Base Light Level,Base Dark Level,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain defence bonus,Terrain avoid bonus,Terrain resistance bonus,***UNKNOWN*** Pointer
WilSniper,0x2cc,0x318,WilSniper,0x19,WilSniperSprite,0,0x79,0xb,21,7,6,5,5,2,8,6,60,25,30,28,25,23,20,3,65,30,30,20,15,20,30,3,2,3,2,2,2,0x80,0x1,0x0,0x0,0,0,0,71,0,0,0,0,WilSniperAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
BattleSageM,BattleSageNameText,BattleSageDescText,BattleSageM,0x25,BattleSageSprite,0,BattleSageMCard,0x13,27,7,7,6,7,5,9,6,60,28,27,27,25,25,20,3,65,30,25,20,15,20,15,4,2,0,0,3,3,0x0,0x1,0x0,0x0,Crank,0,0,0,0,Drank,0,0,BattleSageAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
LostSoulM,LostSoulNameText,LostSoulDescText,LostSoulM,0x0,LostSoulSprite,0,0x80,0x0,8,1,0,0,0,0,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
LostSoulF,LostSoulNameText,LostSoulDescText,LostSoulF,0x0,LostSoulFSprite,0,0x80,0x0,7,0,0,0,0,1,3,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
ArmoredWyvernLord,0x2cf,ArmoredWyvernLordDescText,ArmoredWyvernLord,0x0,ArmoredWyvernLordSprite,0,0x80,0x0,25,9,5,7,10,1,11,8,60,27,25,23,28,22,25,3,75,40,30,20,20,17,20,4,2,2,0,2,0,0x3,0x9,0x40,0x0,Brank,Arank,Brank,Brank,0,0,0,0,ArmoredWyvernLordAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
EdgySwordmaster,OperativeNameText,OperativeDescText,EdgySwordmaster,0x13,EdgySwordmasterSprite,0,0x73,0x6,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,3,65,25,30,30,15,22,25,5,2,0,0,2,1,0x40,0x1,0x2,0x0,71,0,0,0,0,0,0,0,EdgySwordmasterAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
EmperorClass,EmperorNameText,EmperorDescText,EmperorClass,0xf,EmperorSprite,0,0x91,0x4,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,4,1,2,2,2,2,0x0,IsPromoted,0x0,0x0,Arank,0,0,0,0,0,0,0,EmperorAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
MurielSage,0x2d2,0x31e,MurielSage,0x26,MurielSprite,0,0x7d,0x13,19,0,6,5,3,6,4,6,60,20,28,26,21,25,20,3,45,5,30,25,10,40,15,3,0,1,0,3,3,0x0,0x1,0x0,0x0,0,0,0,0,0,Drank,0,0,MurielSageAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
ImpalerF,ImpalerNameText,ImpalerDescText,ImpalerF,0x9,ImpalerFSprite,0,0x9f,0x0,18,6,5,6,4,4,12,6,60,25,30,30,25,25,25,3,70,20,30,30,13,28,25,3,2,3,3,2,2,0x0,IsPromoted,0x0,0x0,0,Arank,0,0,0,0,0,0,ImpalerFAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
SoldierF2,0x2ed,0x339,SoldierF2,0x0,SoldierSprite,0,0x80,0x0,20,3,0,1,0,0,10,5,60,20,20,20,20,20,20,2,80,50,30,20,12,15,25,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,1,0,0,0,0,0,0,0x88af53c,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
BowKnight,BowKnightNameText,BowKnightDescText,BowKnight,0x5b,BowKnightSprite,0,0xa1,0x0,21,6,6,7,5,8,8,7,60,23,28,30,22,26,25,3,60,25,30,35,15,25,25,4,3,1,1,2,4,MountedAid|HasCanto,IsPromoted|HorseIcon,0x0,0x0,Crank,Crank,0,Arank,0,0,0,0,BowKnightAnim|IsPointer,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
HighPriest,HighPriestNameText,HighPriestDescText,HighPriest,0x00,HighPriestSprite,0,0x80,0x0,33,4,20,14,10,14,12,6,60,23,26,26,24,30,25,3,70,20,35,25,25,25,40,4,1,3,2,1,3,0x3,IsPromoted,0x0,0x0,0,0,0,0,Srank,Arank,0,0,PatriarchAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
DreadFighterM,DreadFighterNameText,DreadFighterDescText,DreadFighterM,0x0,DreadFighterSprite,0,DreadFighterMCard,0x0,20,6,7,8,5,8,9,6,60,24,27,27,22,26,20,3,75,25,25,25,20,20,25,4,3,1,2,1,2,0x0,IsPromoted,0x0,0x0,Crank,0,0,0,0,0,0,Drank,DreadFighterMAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
DreadFighterF,DreadFighterNameText,DreadFighterDescText,DreadFighterF,0x0,DreadFighterFSprite,0,DreadFighterFCard,0x0,20,6,7,8,5,7,9,6,60,24,27,27,22,26,20,3,75,25,25,25,20,20,25,4,3,1,2,1,2,0x0,IsPromoted,0x0,0x0,Crank,0,0,0,0,0,0,Drank,DreadFighterFAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
MaligKnight,MaligKnightNameText,MaligKnightDescText,MaligKnight,0x0,MaligKnightSprite,0,MaligKnightCard,0x0,28,11,5,7,13,3,12,8,60,29,25,23,28,22,25,3,80,45,25,20,25,15,20,4,2,2,0,2,1,MountedAid|HasCanto,IsPromoted|DragonIcon,0x0,0x0,0,0,Arank,0,0,0,0,Brank,MaligKnightAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Strategist,StrategistNameText,StrategistDescText,Strategist,0x0,StrategistSprite,0,0x80,0x0,20,5,6,4,5,5,7,6,60,28,30,26,21,25,20,3,45,40,30,25,10,40,15,4,2,0,0,3,3,0x0,IsPromoted,0x0,0x0,Brank,0,0,0,0,Arank,0,0,StrategistAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
SpellswordM,SpellswordNameText,SpellswordDescText,SpellswordM,0x0,SpellswordSprite,0,0x72,0x0,15,3,7,7,1,4,7,5,60,20,20,20,20,20,20,2,75,35,35,35,15,20,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,Drank,0,0,0,0,Erank,0,Erank,SpellswordMAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
SpellswordF,SpellswordNameText,SpellswordDescText,SpellswordF,0x0,SpellswordFSprite,0,0x72,0x0,15,3,7,7,1,4,7,5,60,20,20,20,20,20,20,2,75,35,35,35,15,20,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,Drank,0,0,0,0,Erank,0,Erank,SpellswordFAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
ChampionF,ChampionNameText,ChampionDescText,ChampionF,0x0,ChampionFSprite,0,0x00,0x0,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,2,2,1,2,2,2,0x0,IsPromoted,0x0,0x0,Arank,0,Crank,0,0,0,0,0,ChampionFAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x01 Wall,0x2bf,0x309,0x1,0x3,0x0,0,0x8b,0x1,18,6,6,7,6,0,8,5,60,20,20,20,20,20,20,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x0,0x0,0x0,0x20,0,31,0,0,0,0,0,0,0x88aefd8,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
